company_name,stock_code,prospectus_url,used_url,file_name,download_time,status,file_size,download_method,error_message
芜湖三联锻造股份有限公司,001282,https://static.cninfo.com.cn/finalpage/2023-05-17/1216830304.PDF,https://static.cninfo.com.cn/finalpage/2023-05-17/1216830304.PDF,MB001_001282_芜湖三联锻造股份有限公司.pdf,2026-06-04 19:24:04,success,11690164,urllib_original_url,
上海友升铝业股份有限公司,603418,https://static.cninfo.com.cn/finalpage/2025-09-18/1224667002.PDF,https://static.cninfo.com.cn/finalpage/2025-09-18/1224667002.PDF,MB002_603418_上海友升铝业股份有限公司.pdf,2026-06-04 19:24:06,success,6002412,urllib_original_url,
黄山谷捷股份有限公司,301581,https://static.cninfo.com.cn/finalpage/2024-12-19/1222066314.PDF,https://static.cninfo.com.cn/finalpage/2024-12-19/1222066314.PDF,GEM001_301581_黄山谷捷股份有限公司.pdf,2026-06-04 19:24:07,success,5702528,urllib_original_url,
云汉芯城（上海）互联网科技股份有限公司,301563,https://static.cninfo.com.cn/finalpage/2025-09-25/1224679402.PDF,https://static.cninfo.com.cn/finalpage/2025-09-25/1224679402.PDF,GEM002_301563_云汉芯城（上海）互联网科技股份有限公司.pdf,2026-06-04 19:24:09,success,11424114,urllib_original_url,
苏州赛分科技股份有限公司,688758,https://static.cninfo.com.cn/finalpage/2025-01-06/1222238930.PDF,https://static.cninfo.com.cn/finalpage/2025-01-06/1222238930.PDF,STAR001_688758_苏州赛分科技股份有限公司.pdf,2026-06-04 19:24:11,success,8485662,urllib_original_url,
影石创新科技股份有限公司,688775,https://static.cninfo.com.cn/finalpage/2025-06-06/1223788474.PDF,https://static.cninfo.com.cn/finalpage/2025-06-06/1223788474.PDF,STAR002_688775_影石创新科技股份有限公司.pdf,2026-06-04 19:24:13,success,10047657,urllib_original_url,
常州三协电机股份有限公司,920100,https://www.bse.cn/disclosure/2025/2025-07-11/1752226211_504693.pdf,https://www.bse.cn/disclosure/2025/2025-07-11/1752226211_504693.pdf,BSE001_920100_常州三协电机股份有限公司.pdf,2026-06-04 19:26:56,success,6520016,selenium_original_url,
中科星图测控技术股份有限公司,920116,https://www.bse.cn/disclosure/2024/2024-12-20/1734690128_320590.pdf,https://www.bse.cn/disclosure/2024/2024-12-20/1734690128_320590.pdf,BSE002_920116_中科星图测控技术股份有限公司.pdf,2026-06-04 19:29:28,success,6405569,selenium_original_url,
