sample_id,company_name,stock_code,exchange,board,listing_date,ipo_year,source_platform,source_page_url,prospectus_title,prospectus_url,prospectus_version,prospectus_date,download_status,parse_status,locate_status,extract_status,review_status,notes
MB001,芜湖三联锻造股份有限公司,001282,SZSE,主板,,,巨潮资讯,https://static.cninfo.com.cn/finalpage/2023-05-17/1216830304.PDF,首次公开发行股票并在主板上市招股说明书,https://static.cninfo.com.cn/finalpage/2023-05-17/1216830304.PDF,正式稿,2023-05-17,unchecked,unchecked,unchecked,unchecked,unchecked,替换原样本天和磁材；该样本含创业投资基金股东与增资股本变化信息
MB002,上海友升铝业股份有限公司,603418,SSE,主板,,,巨潮资讯,https://static.cninfo.com.cn/finalpage/2025-09-18/1224667002.PDF,友升股份首次公开发行股票并在主板上市招股说明书,https://static.cninfo.com.cn/finalpage/2025-09-18/1224667002.PDF,正式稿,2025-09-18,unchecked,unchecked,unchecked,unchecked,unchecked,保留
GEM001,黄山谷捷股份有限公司,301581,SZSE,创业板,,,巨潮资讯,https://static.cninfo.com.cn/finalpage/2024-12-19/1222066314.PDF,黄山谷捷首次公开发行股票并在创业板上市招股说明书,https://static.cninfo.com.cn/finalpage/2024-12-19/1222066314.PDF,正式稿,2024-12-19,unchecked,unchecked,unchecked,unchecked,unchecked,保留
GEM002,云汉芯城（上海）互联网科技股份有限公司,301563,SZSE,创业板,,,巨潮资讯,https://static.cninfo.com.cn/finalpage/2025-09-25/1224679402.PDF,云汉芯城首次公开发行股票并在创业板上市招股说明书,https://static.cninfo.com.cn/finalpage/2025-09-25/1224679402.PDF,正式稿,2025-09-25,unchecked,unchecked,unchecked,unchecked,unchecked,保留
STAR001,苏州赛分科技股份有限公司,688758,SSE,科创板,,,巨潮资讯,https://static.cninfo.com.cn/finalpage/2025-01-06/1222238930.PDF,赛分科技首次公开发行股票并在科创板上市招股说明书,https://static.cninfo.com.cn/finalpage/2025-01-06/1222238930.PDF,正式稿,2025-01-06,unchecked,unchecked,unchecked,unchecked,unchecked,保留
STAR002,影石创新科技股份有限公司,688775,SSE,科创板,,,巨潮资讯,https://static.cninfo.com.cn/finalpage/2025-06-06/1223788474.PDF,影石创新首次公开发行股票并在科创板上市招股说明书,https://static.cninfo.com.cn/finalpage/2025-06-06/1223788474.PDF,正式稿,2025-06-06,unchecked,unchecked,unchecked,unchecked,unchecked,保留
BSE001,常州三协电机股份有限公司,920100,BSE,北交所,,,北京证券交易所,https://www.bse.cn/disclosure/2025/2025-07-11/1752226211_504693.pdf,常州三协电机股份有限公司招股说明书（申报稿）,https://www.bse.cn/disclosure/2025/2025-07-11/1752226211_504693.pdf,申报稿,2025-07-11,unchecked,unchecked,unchecked,unchecked,unchecked,保留
BSE002,中科星图测控技术股份有限公司,920116,BSE,北交所,,,北京证券交易所,https://www.bse.cn/disclosure/2024/2024-12-20/1734690128_320590.pdf,中科星图测控技术股份有限公司招股说明书,https://www.bse.cn/disclosure/2024/2024-12-20/1734690128_320590.pdf,正式稿,2024-12-20,unchecked,unchecked,unchecked,unchecked,unchecked,替换原样本大鹏工业；该样本含新增股东增资金额与创业投资股东信息
